run_timestamp,forward_days,n_samples,pearson_r,pearson_p,spearman_rho,spearman_p,date_range_start,date_range_end
2026-08-12T18:13:05Z,1,12,-0.1909,0.5523,-0.1259,0.6967,2026-07-23,2026-08-09
2026-08-13T00:31:18Z,1,13,-0.1711,0.5762,-0.1538,0.6158,2026-07-23,2026-08-10
2026-08-14T03:22:10Z,1,14,-0.0368,0.9007,0.0374,0.8991,2026-07-23,2026-08-11
2026-08-14T03:31:58Z,1,57,0.0294,0.8282,0.0657,0.6271,2026-03-26,2026-08-12
2026-08-15T00:46:08Z,1,57,0.0299,0.8254,0.0651,0.6306,2026-03-26,2026-08-12
2026-08-16T00:36:16Z,1,96,0.1226,0.234,0.1135,0.271,2026-03-01,2026-08-12
2026-08-17T00:45:42Z,1,128,0.0724,0.4164,0.0758,0.395,2026-01-29,2026-08-12
2026-08-18T00:45:43Z,1,149,0.0401,0.6271,0.0533,0.5189,2026-01-01,2026-08-13
2026-08-19T00:46:40Z,1,168,0.0345,0.6566,0.0453,0.5596,2025-12-04,2026-08-16
2026-08-20T00:47:14Z,1,188,0.038,0.6048,0.06,0.4132,2025-11-06,2026-08-16
2026-08-21T00:46:40Z,1,188,0.038,0.6048,0.06,0.4132,2025-11-06,2026-08-16
